fight_id,event_id,fighter_name,fighter_id,kd,sig_str_landed,sig_str_atmpted,sig_str_acc,total_str_landed,total_str_atmpted,total_str_acc,td_landed,td_atmpted,td_acc,sub_att,ctrl,head_landed,head_atmpted,head_acc,body_landed,body_atmpted,body_acc,leg_landed,leg_atmpted,leg_acc,dist_landed,dist_atmpted,dist_acc,clinch_landed,clinch_atmpted,clinch_acc,ground_landed,ground_atmpted,ground_acc,landed_head_per,landed_body_per,landed_leg_per,landed_dist_per,landed_clinch_per,landed_ground_per,corner
5c3325b7da3f7828,91720876db0ee468,Brock Lesnar,513c6f1715e547a8,0,6,18,33,8,20,40,0,1,0,0,0,3,14,21,1,1,100,2,3,67,5,17,28,1,1,100,0,0,,50,16,33,83,16,0,R
d940ffe543c4e38b,91720876db0ee468,Nate Diaz,8355922d564b152c,0,238,362,65,260,391,66,0,2,0,0,64,199,315,63,37,45,82,2,2,100,228,345,66,10,17,59,0,0,,83,15,0,95,4,0,R
b9508f47504ccc59,91720876db0ee468,Jon Fitch,6f018c039b4d5d80,0,0,1,0,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,,0,1,0,0,0,,0,0,,33,34,33,33,34,33,R
607722017a9d7e22,91720876db0ee468,Vladimir Matyushenko,ccdd90bd1fc7dab6,0,5,8,62,7,11,64,0,0,,0,0,4,7,56,1,1,100,0,0,,5,8,62,0,0,,0,0,,80,20,0,100,0,0,R
eeef3df8adb8acc7,91720876db0ee468,Nam Phan,80dbeb1dd5b53e64,0,16,42,38,25,52,48,0,0,,0,35,11,34,32,4,7,56,1,1,100,14,37,38,1,2,50,1,3,33,68,25,6,87,6,6,R
434411f139e51760,91720876db0ee468,Ross Pearson,4f732e58ed907eff,0,52,89,58,87,127,69,1,1,100,0,116,28,55,51,16,23,70,8,11,73,39,71,55,13,18,72,0,0,,53,30,15,75,25,0,R
68137e9ff22d426b,91720876db0ee468,Anthony Njokuani,6bf5a7d3e081ade2,0,44,98,44,67,122,55,0,2,0,1,18,22,70,31,15,21,71,7,7,100,34,84,40,10,14,71,0,0,,50,34,15,77,22,0,R
46bea6d63ffe17e4,91720876db0ee468,Jacob Volkmann,6f81b6de2557739a,0,17,35,48,85,108,79,3,9,33,2,680,13,26,50,3,3,100,1,6,17,3,17,18,1,1,100,13,17,76,76,17,5,17,5,76,R
2f715933d0626544,91720876db0ee468,Manvel Gamburyan,cc6f9d1e89f3449a,0,19,56,33,25,63,40,2,17,11,0,212,12,46,26,3,6,50,4,4,100,7,38,18,9,15,60,3,3,100,63,15,21,36,47,15,R
972034fcd94ca83b,91720876db0ee468,Dong Hyun Kim,9bcf8603ceb25680,1,53,124,42,61,134,46,2,4,50,0,128,28,89,31,5,6,83,20,29,69,50,119,42,2,2,100,1,3,33,52,9,37,94,3,1,R
