fight_key,fighter,opponent,event_date,weight_class,method,finish_round,finish_time,scraped_at,is_decision,is_ko_tko,is_submission,kd_avg_3,kd_sum_3,sig_landed_avg_3,sig_landed_sum_3,sig_attempted_avg_3,sig_attempted_sum_3,sig_pct_avg_3,sig_pct_sum_3,tot_landed_avg_3,tot_landed_sum_3,tot_attempted_avg_3,tot_attempted_sum_3,td_landed_avg_3,td_landed_sum_3,td_attempted_avg_3,td_attempted_sum_3,td_pct_avg_3,td_pct_sum_3,sub_attempts_avg_3,sub_attempts_sum_3,passes_avg_3,passes_sum_3,reversals_avg_3,reversals_sum_3,head_landed_avg_3,head_landed_sum_3,head_attempted_avg_3,head_attempted_sum_3,body_landed_avg_3,body_landed_sum_3,body_attempted_avg_3,body_attempted_sum_3,leg_landed_avg_3,leg_landed_sum_3,leg_attempted_avg_3,leg_attempted_sum_3,dist_landed_avg_3,dist_landed_sum_3,dist_attempted_avg_3,dist_attempted_sum_3,clinch_landed_avg_3,clinch_landed_sum_3,clinch_attempted_avg_3,clinch_attempted_sum_3,ground_landed_avg_3,ground_landed_sum_3,ground_attempted_avg_3,ground_attempted_sum_3,opp_kd_avg_3,opp_kd_sum_3,opp_sig_landed_avg_3,opp_sig_landed_sum_3,opp_sig_attempted_avg_3,opp_sig_attempted_sum_3,opp_td_landed_avg_3,opp_td_landed_sum_3,opp_td_attempted_avg_3,opp_td_attempted_sum_3,opp_sub_attempts_avg_3,opp_sub_attempts_sum_3,opp_passes_avg_3,opp_passes_sum_3,opp_reversals_avg_3,opp_reversals_sum_3
sports-statistics.com|ufc|ufc-fight-statistics|ufc-323-dvalishvili-vs-yan-2|terrance-mckinney-v-chris-duncan,Chris Duncan,Terrance Mckinney,"December 06, 2025",Lightweight,Submission,1,2:30,2026-03-01 02:40:00,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-323-dvalishvili-vs-yan-2|maycee-barber-v-karine-silva,Maycee Barber,Karine Silva,"December 06, 2025",Flyweight,Decision - Unanimous,3,5:00,2026-03-01 02:40:03,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-323-dvalishvili-vs-yan-2|maycee-barber-v-karine-silva,Karine Silva,Maycee Barber,"December 06, 2025",Flyweight,Decision - Unanimous,3,5:00,2026-03-01 02:40:03,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-323-dvalishvili-vs-yan-2|nazim-sadykhov-v-fares-ziam,Nazim Sadykhov,Fares Ziam,"December 06, 2025",Lightweight,KO/TKO,2,4:59,2026-03-01 02:40:05,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-323-dvalishvili-vs-yan-2|nazim-sadykhov-v-fares-ziam,Fares Ziam,Nazim Sadykhov,"December 06, 2025",Lightweight,KO/TKO,2,4:59,2026-03-01 02:40:05,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-323-dvalishvili-vs-yan-2|marvin-vettori-v-brunno-ferreira,Marvin Vettori,Brunno Ferreira,"December 06, 2025",Middleweight,Decision - Unanimous,3,5:00,2026-03-01 02:40:07,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-323-dvalishvili-vs-yan-2|marvin-vettori-v-brunno-ferreira,Brunno Ferreira,Marvin Vettori,"December 06, 2025",Middleweight,Decision - Unanimous,3,5:00,2026-03-01 02:40:07,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-323-dvalishvili-vs-yan-2|edson-barboza-v-jalin-turner,Edson Barboza,Jalin Turner,"December 06, 2025",Lightweight,KO/TKO,1,2:24,2026-03-01 02:40:09,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-323-dvalishvili-vs-yan-2|edson-barboza-v-jalin-turner,Jalin Turner,Edson Barboza,"December 06, 2025",Lightweight,KO/TKO,1,2:24,2026-03-01 02:40:09,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports-statistics.com|ufc|ufc-fight-statistics|ufc-323-dvalishvili-vs-yan-2|iwo-baraniewski-v-ibo-aslan,Iwo Baraniewski,Ibo Aslan,"December 06, 2025",Heavyweight,KO/TKO,1,1:29,2026-03-01 02:40:12,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
