fight_id,event_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee,r_id,b_id,winner_id,winner
1af574c0814429ac,8d5daf67983b65ba,welterweight,0,Submission,1,170,3,Marc Goddard,029e1293e609fd74,3bb2dc8e87b10a46,3bb2dc8e87b10a46,David Zawada
c814ef3b3a26e2fe,8d5daf67983b65ba,women's bantamweight,0,Decision - Unanimous,3,300,3,Rich Mitchell,6c8072b61c276e67,91dac5e69e28d5b5,91dac5e69e28d5b5,Pannie Kianzad
a7807ab56cb49cad,8d5daf67983b65ba,lightweight,0,Decision - Unanimous,3,300,3,Leon Roberts,d06f8869449ba7bd,37c5366d18ed6c05,37c5366d18ed6c05,Roosevelt Roberts
f0418c2c989a5cde,8d5daf67983b65ba,bantamweight,0,Decision - Split,3,300,3,Vyacheslav  Kiselev,d3fa5c5955397532,113df4fde64735c6,113df4fde64735c6,Davey Grant
7c40aa2cb6883a91,fd87b1bbfcde9d5e,middleweight,0,Decision - Split,3,300,3,Kevin MacDonald,8c0580d4fff106c1,9ce6d5a03af801b7,9ce6d5a03af801b7,Darren Till
ac0a63ad13897564,fd87b1bbfcde9d5e,welterweight,0,TKO - Doctor's Stoppage,3,300,5,Dan Miragliotta,47b9e0e7703a4868,8355922d564b152c,47b9e0e7703a4868,Jorge Masvidal
f870cacadb058733,fd87b1bbfcde9d5e,heavyweight,0,Decision - Split,3,300,3,Todd Ronald Anderson,d3df1add9d9a7efb,1788eee370f077b7,d3df1add9d9a7efb,Derrick Lewis
28deed0ab55ca350,fd87b1bbfcde9d5e,welterweight,0,Decision - Unanimous,3,300,3,Keith Peterson,4a28cb716c19157a,6d4b63c767106d3a,4a28cb716c19157a,Stephen Thompson
a2af14e9dba37b03,fd87b1bbfcde9d5e,light heavyweight,0,KO/TKO,1,127,3,Kevin MacDonald,5e4eec08896c9423,c21f26bbde777573,5e4eec08896c9423,Corey Anderson
d5955b81c26230ff,fd87b1bbfcde9d5e,lightweight,0,KO/TKO,1,167,3,Dan Miragliotta,ee9ebceabfd16fa7,84ff027394f7e470,ee9ebceabfd16fa7,Kevin Lee
216fddf542707629,fd87b1bbfcde9d5e,featherweight,0,KO/TKO,3,272,3,Keith Peterson,98d961097baaf308,87a1dc546b1c5caf,98d961097baaf308,Shane Burgos
83f7c3b91a402306,fd87b1bbfcde9d5e,heavyweight,0,KO/TKO,1,29,3,Dan Miragliotta,3738e68d2261e60f,2cd428e9606856fd,2cd428e9606856fd,Jairzinho Rozenstruik
a3e8ef1ce72a7d02,fd87b1bbfcde9d5e,middleweight,0,KO/TKO,1,147,3,Todd Ronald Anderson,0c6d9ea8306c029e,4144798612ef96e5,4144798612ef96e5,Edmen Shahbazyan
a6c29d2cb319d923,fd87b1bbfcde9d5e,welterweight,0,KO/TKO,3,123,3,Keith Peterson,4e0692ad070976e4,1ddb480b601cefb1,4e0692ad070976e4,Lyman Good
d7cbe2f23d75afd1,fd87b1bbfcde9d5e,featherweight,0,Decision - Split,3,300,3,Todd Ronald Anderson,1291edf2d566a71a,2c9d00968f818270,2c9d00968f818270,Hakeem Dawodu
515ecc54219bcc4c,fd87b1bbfcde9d5e,women's flyweight,0,Decision - Unanimous,3,300,3,Kevin MacDonald,e872e9a9a902c045,8e1f36476ef02a6a,e872e9a9a902c045,Katlyn Cerminara
241a0833e1c76804,df05aa15b2d66f57,welterweight,0,Submission,3,234,5,Herb Dean,427b5953ac8e3a27,0b31f87be71ebbb1,427b5953ac8e3a27,Demian Maia
b2d05ae88f820421,df05aa15b2d66f57,lightweight,0,Submission,1,122,3,Kevin Sataki,764342d39cdaa54a,08af939f41b5a57b,08af939f41b5a57b,Beneil Dariush
3162ae3ccbf785ac,df05aa15b2d66f57,lightweight,0,Decision - Majority,3,300,3,Leon Roberts,511e82663651438d,31a13532e724ca2b,31a13532e724ca2b,Stevie Ray
89266a872e1f92d9,df05aa15b2d66f57,welterweight,0,Decision - Unanimous,3,300,3,Thomas Fan,447f9858ae78f921,a12a8314adc1c1c9,447f9858ae78f921,Muslim Salikhov
